NIS;Categoria;Consumo;Mes
0307-0432;BT RESIDENCIAL;583;Abril
0307-0434;BT RESIDENCIAL;773;Abril
0307-0448;BT RESIDENCIAL;705;Abril
0307-0460;BT RESIDENCIAL;120;Abril
0307-0466;BT RESIDENCIAL;526;Abril
0307-0470;BT RESIDENCIAL;535;Abril
0307-0480;BT RESIDENCIAL;369;Abril
0307-0504;BT RESIDENCIAL;645;Abril
0307-0510;BT RESIDENCIAL;592;Abril
0307-0512;BT RESIDENCIAL;389;Abril
0307-0516;BT RESIDENCIAL;30;Abril
0307-0522;BT RESIDENCIAL;698;Abril
0307-0534;BT RESIDENCIAL;30;Abril
0307-0536;BT RESIDENCIAL;469;Abril
0307-0544;BT RESIDENCIAL;30;Abril
0307-0546;BT RESIDENCIAL;517;Abril
0307-0554;BT RESIDENCIAL;36;Abril
0307-0558;BT RESIDENCIAL;120;Abril
0307-0562;BT RESIDENCIAL;793;Abril
0307-0578;BT RESIDENCIAL;120;Abril
0307-0580;BT RESIDENCIAL;623;Abril
0330-0040;BT RESIDENCIAL;1223;Abril
0330-0045;BT RESIDENCIAL;335;Abril
0350-0116;BT RESIDENCIAL;424;Abril
0350-0155;BT RESIDENCIAL;9142;Abril
0350-0200;BT RESIDENCIAL;7322;Abril
0400-0020;BT GENERAL;1347;Abril
0082-0759;BT RESIDENCIAL;414;Abril
0082-0761;BT RESIDENCIAL;400;Abril
0083-0001;BT GENERAL;2459;Abril
0083-0002;BT GENERAL;60;Abril
0083-0004;BT RESIDENCIAL;698;Abril
0083-0005;BT RESIDENCIAL;1307;Abril
0083-0008;BT RESIDENCIAL;354;Abril
0083-0009;MT GENERAL;2545;Abril
0083-0010;BT GENERAL;2860;Abril
0083-0011;BT GENERAL;1536;Abril
0083-0015;BT GENERAL;1084;Abril
0083-0016;BT GENERAL;1491;Abril
0083-0018;MT GENERAL;16483;Abril
0083-0025;BT GUBERNAMENTAL;1715;Abril
0083-0030;BT RESIDENCIAL;567;Abril
0083-0031;BT RESIDENCIAL;454;Abril
0083-0032;MT GENERAL;4500;Abril
